ev,n,k,,,,,,,,,,,,,,,,
6015,0.9999607,1.04E-06,,,,,,,,,,,,,,,,
5744,0.9999565,1.24E-06,,,,,,,,,,,,,,,,
5484,0.999952,1.47E-06,,,,,,,,,,,,,,,,
5237,0.9999471,1.75E-06,,,,,,,,,,,,,,,,
5000,0.9999416,2.08E-06,,,,,,,,,,,,,,,,
4775,0.9999357,2.48E-06,,,,,,,,,,,,,,,,
4559,0.9999293,2.94E-06,,,,,,,,,,,,,,,,
4353,0.9999222,3.50E-06,,,,,,,,,,,,,,,,
4157,0.9999144,4.16E-06,,,,,,,,,,,,,,,,
3969,0.9999058,4.95E-06,,,,,,,,,,,,,,,,
3790,0.999896,5.88E-06,,,,,,,,,,,,,,,,
3619,0.999886,6.99E-06,,,,,,,,,,,,,,,,
3455,0.999875,8.30E-06,,,,,,,,,,,,,,,,
3299,0.999862,9.86E-06,,,,,,,,,,,,,,,,
3150,0.999848,1.17E-05,,,,,,,,,,,,,,,,
3008,0.999834,1.39E-05,,,,,,,,,,,,,,,,
2872,0.999817,1.65E-05,,,,,,,,,,,,,,,,
2742,0.999799,1.96E-05,,,,,,,,,,,,,,,,
2619,0.999779,2.32E-05,,,,,,,,,,,,,,,,
2500,0.999757,2.76E-05,,,,,,,,,,,,,,,,
2387,0.999733,3.27E-05,,,,,,,,,,,,,,,,
2280,0.999707,3.87E-05,,,,,,,,,,,,,,,,
2177,0.999679,4.58E-05,,,,,,,,,,,,,,,,
2078,0.999647,5.42E-05,,,,,,,,,,,,,,,,
1985,0.999614,6.41E-05,,,,,,,,,,,,,,,,
1895,0.999576,7.57E-05,,,,,,,,,,,,,,,,
1809,0.999536,8.94E-05,,,,,,,,,,,,,,,,
1728,0.999492,1.06E-04,,,,,,,,,,,,,,,,
1650,0.999445,1.24E-04,,,,,,,,,,,,,,,,
1575,0.999393,1.46E-04,,,,,,,,,,,,,,,,
