w,n,k,,,,,,,,,,,,,,,,
0.1488,5.37,25.6,,,,,,,,,,,,,,,,
0.1364,5.59,27.8,,,,,,,,,,,,,,,,
0.124,5.81,30.4,,,,,,,,,,,,,,,,
0.1178,5.95,32,,,,,,,,,,,,,,,,
0.1116,6.12,33.7,,,,,,,,,,,,,,,,
0.1054,6.31,35.7,,,,,,,,,,,,,,,,
0.09919,6.48,37.7,,,,,,,,,,,,,,,,
0.09299,6.88,40.3,,,,,,,,,,,,,,,,
0.08679,7.3,43.2,,,,,,,,,,,,,,,,
0.08059,7.71,46.5,,,,,,,,,,,,,,,,
0.07439,8.38,50.3,,,,,,,,,,,,,,,,
0.06819,9.04,54.7,,,,,,,,,,,,,,,,
0.06199,9.87,60.1,,,,,,,,,,,,,,,,
0.05951,10.3,62.6,,,,,,,,,,,,,,,,
0.05703,10.7,65.4,,,,,,,,,,,,,,,,
0.05455,11.3,68.6,,,,,,,,,,,,,,,,
0.05207,12,71.9,,,,,,,,,,,,,,,,
0.04959,13,75.7,,,,,,,,,,,,,,,,
0.04711,14.2,79.8,,,,,,,,,,,,,,,,
0.04463,15.7,84.5,,,,,,,,,,,,,,,,
0.04215,17.7,89.3,,,,,,,,,,,,,,,,
0.03968,19.9,94.5,,,,,,,,,,,,,,,,
0.0372,22.5,100,,,,,,,,,,,,,,,,
0.03472,25.2,106,,,,,,,,,,,,,,,,
0.03224,29.1,114,,,,,,,,,,,,,,,,
0.02976,33.6,122,,,,,,,,,,,,,,,,
0.02728,38.6,130,,,,,,,,,,,,,,,,
0.0248,45.7,141,,,,,,,,,,,,,,,,
